Beds,Baths,Price,StreetAddress,Area
2,2,889000,405-189 NATIONAL AVENUE,Vancouver
1,1,699000,1008-2770 SOPHIA STREET,Vancouver
4,4,1685000,5-752 E 3RD STREET,North Vancouver
4,4,3990000,3042 MATHERS AVENUE,West Vancouver
3,4,1699900,1014 E 16TH AVENUE,Vancouver
2,4,4588000,4301-1372 SEYMOUR STREET,Vancouver
2,2,599000,910-4200 MAYBERRY STREET,Burnaby
3,4,1595000,5-8589 RIVERGRASS DRIVE,Vancouver
2,2,798000,801-4657 HAZEL STREET,Burnaby
2,2,2025000,14-2246 FOLKESTONE WAY,West Vancouver
3,4,1598000,3362 E 28TH AVENUE,Vancouver
2,1,575000,1501-2041 BELLWOOD AVENUE,Burnaby
3,2,939000,1106-950 CAMBIE STREET,Vancouver
4,3,3680000,1849 W 63RD AVENUE,Vancouver
1,1,1748900,1002-1550 ALBERNI STREET,Vancouver
1,1,1158000,506-1477 W PENDER STREET,Vancouver
1,1,398000,808-1251 CARDERO STREET,Vancouver
2,2,799000,302-488 HELMCKEN STREET,Vancouver
1,1,625000,804-219 E GEORGIA STREET,Vancouver
3,3,3300000,5306-1289 HORNBY STREET,Vancouver
1,1,848888,1102-788 RICHARDS STREET,Vancouver
5,6,2868000,3565 MCGILL STREET,Vancouver
1,1,549800,1208-1327 E KEITH ROAD,North Vancouver
2,2,1268000,302-1661 ONTARIO STREET,Vancouver
5,6,3699000,537 W 64TH AVENUE,Vancouver
5,3,1780000,2075 E 3RD AVENUE,Vancouver
1,1,600000,412-8508 RIVERGRASS DRIVE,Vancouver
6,7,7980000,3272 W 27TH AVENUE,Vancouver
3,2,2398000,3284 W 1ST AVENUE,Vancouver
1,1,1099900,314-55 E CORDOVA STREET,Vancouver
2,2,1249900,701-120 W 16TH STREET,North Vancouver
3,2,1388000,1003-1009 EXPO BOULEVARD,Vancouver
5,4,5980000,5584 LABURNUM STREET,Vancouver
2,3,2999000,1201-181 W 1ST AVENUE,Vancouver
3,4,4499900,1704-1365 DAVIE STREET,Vancouver
1,1,599000,801-489 INTERURBAN WAY,Vancouver
4,2,2349800,681 W 17TH AVENUE,Vancouver
2,2,1399000,1602-160 E 13 STREET,North Vancouver
7,10,15888000,1487 MINTO CRESCENT,Vancouver
1,1,1050000,902-2411 HEATHER STREET,Vancouver
3,2,2299900,2209-1111 RICHARDS STREET,Vancouver
1,1,460000,307-3 N GARDEN DRIVE,Vancouver
1,1,775000,305-1633 ONTARIO STREET,Vancouver
2,1,975000,101-825 W 7TH AVENUE,Vancouver
3,4,4499900,1803-1180 BROUGHTON STREET,Vancouver
N/A ,0,3500000,2366 W 7TH AVENUE,Vancouver
2,2,809900,1307-4028 KNIGHT STREET,Vancouver
1,1,499000,701-66 W CORDOVA STREET,Vancouver
2,1,619000,701-3920 HASTINGS STREET,Burnaby
2,3,599000,1506-6759 WILLINGDON AVENUE,Burnaby
6,4,1788000,1045 E 63RD AVENUE,Vancouver
2,3,1299900,2023 W 10TH AVENUE,Vancouver
2,3,3498000,24-1386 NICOLA STREET,Vancouver
3,3,1895000,816 E 30TH AVENUE,Vancouver
1,1,718000,1112-89 NELSON STREET,Vancouver
4,2,4999900,607 W 29TH AVENUE,Vancouver
5,2,2400000,1506 BOND STREET,North Vancouver
3,4,1898000,145-2060 CURLING ROAD,North Vancouver
3,3,1498000,TH3-2088 MADISON AVENUE,Burnaby
3,4,1848000,1518 BOND STREET,North Vancouver
5,4,2049000,3115 ALLAN ROAD,North Vancouver
2,2,998000,2507-6699 DUNBLANE AVENUE,Burnaby
N/A ,0,3798000,2690 CHELSEA COURT,West Vancouver
5,2,1888000,3635 FRANKLIN STREET,Vancouver
1,0,728000,2001-1788 GILMORE AVENUE,Burnaby
7,2,1838000,2235 E 35TH AVENUE,Vancouver
2,2,3100000,1201-1568 ALBERNI STREET,Vancouver
3,2,1158000,2603-6383 MCKAY AVENUE,Burnaby
0,1,489999,603-1367 ALBERNI STREET,Vancouver
2,1,699000,202-1239 KINGSWAY,Vancouver
4,3,1528000,TH 16-6438 BYRNEPARK DRIVE,Burnaby
4,3,1548000,TH6-6438 BYRNEPARK DRIVE,Burnaby
1,1,899000,501-1616 COLUMBIA STREET,Vancouver
4,2,2250000,1423 E 11TH AVENUE,Vancouver
1,1,499900,1701-5515 BOUNDARY ROAD,Vancouver
2,1,949000,1080 W 16TH AVENUE,Vancouver
4,3,1438000,TH 39-6438 BYRNEPARK DRIVE,Burnaby
2,3,2388900,1201-1180 BROUGHTON STREET,Vancouver
3,4,3498000,A-1390 W KING EDWARD AVENUE,Vancouver
3,4,6499900,1703-1365 DAVIE STREET,Vancouver
2,2,1748000,3203-928 RICHARDS STREET,Vancouver
1,1,499000,817-168 POWELL STREET,Vancouver
3,3,1389900,1223 E 27TH AVENUE,Vancouver
1,1,800000,507-77 WALTER HARDWICK AVENUE,Vancouver
1,2,899000,404-1055 HOMER STREET,Vancouver
2,2,1525000,1605-638 BEACH CRESCENT,Vancouver
2,3,1298000,1070 RICHARDS STREET,Vancouver
2,2,999900,1669 KITCHENER STREET,Vancouver
2,2,859000,407-108 W ESPLANADE AVENUE,North Vancouver
3,3,798800,13-3701 THURSTON STREET,Burnaby
4,2,2198000,4037 RIPPLE ROAD,West Vancouver
3,3,2888000,3172 DEER RIDGE DRIVE,West Vancouver
3,3,2100000,5767 SPRUCE STREET,Burnaby
2,2,988000,203-7777 CAMBIE STREET,Vancouver
2,2,959900,409-1500 HORNBY STREET,Vancouver
5,4,2399000,4061 DUNDAS STREET,Burnaby
3,2,2399000,2621 E 8TH AVENUE,Vancouver
1,1,629900,301-2419 GRANT STREET,Vancouver
2,3,989900,115-7474 BULLER AVENUE,Burnaby
N/A ,0,2309900,3493 COMMERCIAL STREET,Vancouver
2,2,2798000,501-1327 BELLEVUE AVENUE,West Vancouver
7,7,2588000,1326 E 36TH AVENUE,Vancouver
3,3,7890000,105-1169 W CORDOVA STREET,Vancouver
8,5,2533000,2233 SCARBORO AVENUE,Vancouver
8,8,4888000,960 BEAUMONT DRIVE,North Vancouver
2,2,1899900,1704-1180 BROUGHTON STREET,Vancouver
3,3,9988000,3702-1550 ALBERNI STREET,Vancouver
2,2,1420000,906-6383 CAMBIE STREET,Vancouver
1,1,900000,2906-1438 RICHARDS STREET,Vancouver
2,3,2880000,507-3101 BURFIELD STREET,West Vancouver
2,2,1188000,413-2250 COMMERCIAL DRIVE,Vancouver
3,4,1749000,1907 E 40 AVENUE,Vancouver
1,1,749000,803-587 W 7TH AVENUE,Vancouver
2,2,1799900,1602-1365 DAVIE STREET,Vancouver
0,1,549900,2705-4688 KINGSWAY,Burnaby
2,2,720000,2305-7088 SALISBURY AVENUE,Burnaby
1,1,699000,107-2424 CYPRESS STREET,Vancouver
2,2,1479000,5-1135 BARCLAY STREET,Vancouver
3,4,1359000,5097 MOSS STREET,Vancouver
3,4,2198800,3106-939 HOMER STREET,Vancouver
3,3,1489900,1221 E 27TH AVENUE,Vancouver
7,9,3500000,2366 W 7TH AVENUE,Vancouver
1,2,1250000,21 W 15TH AVENUE,Vancouver
2,2,1730000,1502-560 CARDERO STREET,Vancouver
3,2,1699999,1156 WELLINGTON DRIVE,North Vancouver
2,2,2269000,303-717 W 17TH AVENUE,Vancouver
2,2,638000,302-6860 RUMBLE STREET,Burnaby
4,4,1419000,5-720 E 3RD STREET,North Vancouver
N/A ,0,3870000,658 ALEXANDER STREET,Vancouver
2,2,978000,303-4465 JUNEAU STREET,Burnaby
1,1,599000,1801-7090 EDMONDS STREET,Burnaby
4,7,5190000,1827 W 12TH AVENUE,Vancouver
6,8,10880000,2143 W 36TH AVENUE,Vancouver
9,3,4388000,2305 ALMA STREET,Vancouver
N/A ,0,10680000,5538 ASH STREET,Vancouver
0,1,520900,205-2419 GRANT STREET,Vancouver
8,5,4988000,1055 WOLFE AVENUE,Vancouver
6,7,5998000,6633 LABURNUM STREET,Vancouver
2,3,2098800,283 E 18 AVENUE,Vancouver
3,1,1799000,4817 EMPIRE DRIVE,Burnaby
N/A ,0,4388000,2305 ALMA STREET,Vancouver
0,1,319000,1001-1250 BURNABY STREET,Vancouver
2,2,1699000,4103-1283 HOWE STREET,Vancouver
2,2,1349000,321-3220 CONNAUGHT CRESCENT,North Vancouver
1,1,719000,1802-1010 RICHARDS STREET,Vancouver
1,1,499000,302-275 W 2ND STREET,North Vancouver
1,1,930000,4606-6000 MCKAY AVENUE,Burnaby
4,3,1998000,2455 LLOYD AVENUE,North Vancouver
1,1,609000,604-811 HELMCKEN STREET,Vancouver
2,2,1299000,103-650 E 2ND STREET,North Vancouver
2,2,768000,1401-5885 OLIVE AVENUE,Burnaby
1,1,565000,306-3 N GARDEN DRIVE,Vancouver
2,1,629900,8-7077 EDMONDS STREET,Burnaby
5,3,7298000,985 KING GEORGES WAY,West Vancouver
2,2,799000,PH6-1270 ROBSON STREET,Vancouver
5,4,1798000,2058 WESTVIEW DRIVE,North Vancouver
2,1,908000,1906-1740 COMOX STREET,Vancouver
1,1,399000,106-1345 CHESTERFIELD AVENUE,North Vancouver
2,2,959000,2001-2077 ROSSER AVENUE,Burnaby
2,2,999888,1904-811 HELMCKEN STREET,Vancouver
2,2,999000,807-2055 YUKON STREET,Vancouver
1,1,699000,202-2268 W 12TH AVENUE,Vancouver
3,3,2288000,601-2108 W 38TH AVENUE,Vancouver
1,1,550000,617-1333 HORNBY STREET,Vancouver
2,2,798000,2-2883 E KENT AVENUE NORTH,Vancouver
7,7,5580000,1331 W 59TH AVENUE,Vancouver
2,3,3299000,PH509-2102 W 48TH AVENUE,Vancouver
2,2,1369000,5350 PATRICK STREET,Burnaby
2,2,1369000,5350 PATRICK STREET,Burnaby
2,2,899900,3104-2008 ROSSER AVENUE,Burnaby
2,1,589800,320-6833 VILLAGE GREEN GROVE,Burnaby
5,2,2398000,3409 ARBUTUS STREET,Vancouver
5,6,11800000,1761 DRUMMOND DRIVE,Vancouver
5,3,4880000,552 BEACHVIEW DRIVE,North Vancouver
2,3,1980000,5050 CAMBIE STREET,Vancouver
4,2,2328000,607-4685 VALLEY DRIVE,Vancouver
5,2,1468000,3260 GRAVELEY STREET,Vancouver
4,3,3299000,125 KENSINGTON CRESCENT,North Vancouver
1,1,1149000,2207-918 COOPERAGE WAY,Vancouver
3,2,989000,2605-6540 BURLINGTON AVENUE,Burnaby
2,2,799000,2207-2289 YUKON CRESCENT,Burnaby
6,7,5988000,1462 CHARTWELL DRIVE,West Vancouver
1,1,759000,512-180 E 2ND AVENUE,Vancouver
2,2,718000,1804-5885 OLIVE AVENUE,Burnaby
2,2,3380000,2105-1550 ALBERNI STREET,Vancouver
3,2,1549000,3805-2085 SKYLINE COURT,Burnaby
2,1,789000,201-168 POWELL STREET,Vancouver
2,1,988000,2104-5058 JOYCE STREET,Vancouver
2,2,2290000,2606-838 W HASTINGS STREET,Vancouver
2,2,2998000,1704-1568 ALBERNI STREET,Vancouver
2,2,748800,PH13-5355 LANE STREET,Burnaby
2,2,1488000,502-455 BEACH CRESCENT,Vancouver
1,2,658000,103-5025 JOYCE STREET,Vancouver
1,1,679900,503-161 W GEORGIA STREET,Vancouver
2,2,1799999,405-1425 W 6TH AVENUE,Vancouver
1,1,899000,321-1238 SEYMOUR STREET,Vancouver
1,1,624900,308-630 E BROADWAY,Vancouver
3,3,1249900,118-938 LYTTON STREET,North Vancouver
5,3,3080000,2716 NELSON AVENUE,West Vancouver
4,3,1975000,4783 HOSKINS ROAD,North Vancouver
3,2,1398000,501-4101 YEW STREET,Vancouver
1,1,585000,208-128 W CORDOVA STREET,Vancouver
1,1,709000,910-4688 KINGSWAY,Burnaby
6,5,3188000,5456 COLUMBIA STREET,Vancouver
2,2,828000,213-3138 RIVERWALK AVENUE,Vancouver
2,2,939000,2802-8131 NUNAVUT LANE,Vancouver
6,2,1580000,2458 ADANAC STREET,Vancouver
2,2,868000,1302-6638 DUNBLANE AVENUE,Burnaby
3,3,1399000,1923 E 3RD AVENUE,Vancouver
2,2,1200000,7515 YUKON STREET,Vancouver
1,1,778000,1308-1133 HORNBY STREET,Vancouver
4,2,1160000,6762 VILLAGE GREEN GROVE,Burnaby
7,5,3780000,3083 W 38TH AVENUE,Vancouver
2,1,1425000,4152 PENDER STREET,Burnaby
2,2,1079900,607-4083 CAMBIE STREET,Vancouver
2,3,1099000,5460 NORFOLK STREET,Burnaby
1,1,575000,201-219 E GEORGIA STREET,Vancouver
2,1,775000,5140 HASTINGS STREET,Burnaby
2,2,749900,308-3133 RIVERWALK AVENUE,Vancouver
2,2,880000,210-128 W CORDOVA STREET,Vancouver
2,2,699000,519-388 KOOTENAY STREET,Vancouver
5,2,3268000,3853 W 15TH AVENUE,Vancouver
N/A ,0,1599000,Lot 2-3908 MARINE DRIVE,Burnaby
3,3,2598800,285 E 18 AVENUE,Vancouver
5,3,1999000,7 N GROSVENOR AVENUE,Burnaby
6,5,2999900,3622 W 18TH AVENUE,Vancouver
5,2,1999000,7691 MCGREGOR AVENUE,Burnaby
4,3,5975000,2361 BELLEVUE AVENUE,West Vancouver
2,2,1998000,1003-1335 HOWE STREET,Vancouver
1,1,675000,907-777 RICHARDS STREET,Vancouver
2,2,1059000,316-1869 SPYGLASS PLACE,Vancouver
1,1,779900,3003-1068 HORNBY STREET,Vancouver
6,6,3998000,3981 YALE STREET,Burnaby
2,1,678000,1905-2008 FULLERTON AVENUE,North Vancouver
1,1,899900,1103-989 BEATTY STREET,Vancouver
2,1,769000,201-231 E PENDER STREET,Vancouver
2,2,888000,1606-4388 BUCHANAN STREET,Burnaby
2,1,599000,1004-789 DRAKE STREET,Vancouver
1,1,634900,905-1212 HOWE STREET,Vancouver
N/A ,0,5190000,1827 W 12TH AVENUE,Vancouver
1,1,850000,110-1425 CYPRESS STREET,Vancouver
1,1,799000,2407-788 RICHARDS STREET,Vancouver
4,2,1575000,2331 GRAVELEY STREET,Vancouver
1,1,710000,502-1845 BELLEVUE AVENUE,West Vancouver
4,2,2075000,339 E 18TH STREET,North Vancouver
6,3,4280000,1955 18TH STREET,West Vancouver
8,7,2948000,4462 FRANCES STREET,Burnaby
1,1,670000,106-3588 VANNESS AVENUE,Vancouver
1,1,709900,1806-4189 HALIFAX STREET,Burnaby
2,1,620000,209-160 E 19TH STREET,North Vancouver
1,1,688000,119-221 E 3RD STREET,North Vancouver
3,4,1882000,24-1133 RIDGEWOOD DRIVE,North Vancouver
4,4,1998800,7915 NURSERY STREET,Burnaby
5,6,5777000,1770 W 62ND AVENUE,Vancouver
4,2,2398000,3841 W 27TH AVENUE,Vancouver
2,2,728000,P07-223 MOUNTAIN HIGHWAY,North Vancouver
2,1,739000,501-168 POWELL STREET,Vancouver
1,1,571000,1909-438 SEYMOUR STREET,Vancouver
4,5,2288000,1705 FELL AVENUE,Burnaby
1,1,678800,1701-2133 DOUGLAS ROAD,Burnaby
0,4,1500000,175-2035 GLENAIRE DRIVE,North Vancouver
3,3,1599999,1165 CALEDONIA AVENUE,North Vancouver
2,2,1428000,614-4759 VALLEY DRIVE,Vancouver
2,2,849900,201-6438 BYRNEPARK DRIVE,Burnaby
4,3,1458000,TH44-6438 BYRNEPARK DRIVE,Burnaby
2,2,779900,405-6438 BYRNEPARK DRIVE,Burnaby
1,1,619900,107-6438 BYRNEPARK DRIVE,Burnaby
2,2,877400,201-3430 E KENT AVENUE SOUTH AVENUE,Vancouver
3,3,2498000,303-3101 BURFIELD PLACE,West Vancouver
3,3,1588000,18-5201 OAKMOUNT CRESCENT,Burnaby
3,3,1599900,4713 HAZEL STREET,Burnaby
2,2,968800,124-108 E 8TH STREET,North Vancouver
2,2,940000,403-1144 STRATHAVEN DRIVE,North Vancouver
1,1,688000,3306-2008 ROSSER AVENUE,Burnaby
3,3,2999000,3703-1480 HOWE STREET,Vancouver
2,2,1100000,8B-1568 W 12TH AVENUE,Vancouver
2,2,978000,906-480 ROBSON STREET,Vancouver
4,4,2998000,B-1380 W KING EDWARD AVENUE,Vancouver
2,2,764900,6-7363 MONTECITO DRIVE,Burnaby
3,2,1950000,5852 FORGLEN DRIVE,Burnaby
4,4,2999000,1978 WOLFE STREET,North Vancouver
2,2,1399000,603-212 DAVIE STREET,Vancouver
5,7,5880000,4261 W 13TH AVENUE,Vancouver
2,2,1050000,3207-1788 GILMORE AVENUE,Burnaby
3,2,989400,801-3430 E KENT SOUTH AVENUE,Vancouver
0,1,533900,906-6608 SUSSEX AVENUE,Burnaby
1,1,799000,207-2525 BLENHEIM STREET,Vancouver
4,3,1950000,925 E 19TH AVENUE,Vancouver
5,4,3050000,1395 PALMERSTON AVENUE,West Vancouver
4,4,3248000,C-4128 CARTIER STREET,Vancouver
8,5,2498000,769 E 57TH AVENUE,Vancouver
1,1,650000,305-1630 W 1ST AVENUE,Vancouver
3,3,1525000,206-2035 GLENAIRE DRIVE,North Vancouver
2,2,999000,6487 TELFORD AVENUE,Burnaby
1,1,580000,2602-1850 COMOX STREET,Vancouver
2,2,1238000,2005-1289 HORNBY STREET,Vancouver
2,2,1489000,103-1859 SPYGLASS PLACE,Vancouver
2,2,1559900,603-1538 W 6TH AVENUE,Vancouver
3,3,1798150,8-8508 JACK UPPAL STREET,Vancouver
3,3,1438150,4-8508 JACK UPPAL STREET,Vancouver
2,2,874900,308-3430 E KENT AVENUE SOUTH AVENUE,Vancouver
2,2,1019900,3432-3432 SAWMILL CRESCENT,Vancouver
1,1,548000,138-5355 LANE STREET,Burnaby
2,2,1200000,405-1420 DUCHESS AVENUE,West Vancouver
5,4,1838000,5236 UNION STREET,Burnaby
2,2,938800,1109-5333 GORING STREET,Burnaby
4,6,4498000,3263 W 30TH AVENUE,Vancouver
2,3,2680000,3710-1289 HORNBY STREET,Vancouver
2,2,768000,1102-4118 DAWSON STREET,Burnaby
1,1,675000,1602-5333 GORING STREET,Burnaby
2,2,1369800,2113 GUELPH STREET,Vancouver
2,2,948000,8-3437 W 4TH AVENUE,Vancouver
2,2,1428000,504-3188 RIVERWALK AVENUE,Vancouver
6,4,1998900,1084 E 28TH AVENUE,Vancouver
2,2,838000,205-3198 RIVERWALK AVENUE,Vancouver
3,3,1799000,102-3825 CATES LANDING WAY,North Vancouver
1,1,688000,504-2580 TOLMIE STREET,Vancouver
3,3,1458000,PH1-7088 SALISBURY AVENUE,Burnaby
2,2,798000,5105-4650 BRENTWOOD BOULEVARD,Burnaby
1,0,425500,1205-2016 FULLERTON AVENUE,North Vancouver
3,1,1698000,6471 BRYANT STREET,Burnaby
0,1,575000,1003-550 TAYLOR STREET,Vancouver
3,3,2135800,113-745 W 49 AVENUE,Vancouver
2,2,893400,301-3430 E KENT SOUTH AVENUE,Vancouver
3,5,11988000,PH1-1028 BARCLAY STREET,Vancouver
3,3,2149900,2506-3538 SAWMILL CRESCENT,Vancouver
3,2,1198800,2032 DEEP COVE CRESCENT,North Vancouver
2,4,1900000,2657 W 8TH AVENUE,Vancouver
5,3,1880000,1829 E 61ST AVENUE,Vancouver
1,1,555000,1703-650 16TH STREET,West Vancouver
6,5,2100000,2947 E 4TH AVENUE,Vancouver
2,2,789000,601-4788 HAZEL STREET,Burnaby
N/A ,0,7488000,33 W HASTINGS STREET,Vancouver
2,2,849000,1604-7388 SANDBORNE AVENUE,Burnaby
2,1,729000,2501-2225 HOLDOM AVENUE,Burnaby
3,3,949000,4872 ELDORADO MEWS,Vancouver
1,1,739900,201-1260 W 10TH AVENUE,Vancouver
1,1,825000,601-181 W 1ST AVENUE,Vancouver
1,1,749900,1904-565 SMITHE STREET,Vancouver
5,5,11880000,4677 SIMPSON AVENUE,Vancouver
5,1,3098000,2376 W 18TH AVENUE,Vancouver
5,3,2338000,1290 QUEENS AVENUE,West Vancouver
4,5,4498000,1530 OTTAWA AVENUE,West Vancouver
3,4,1599900,11-8589 RIVERGRASS DRIVE,Vancouver
1,1,699000,513-833 HOMER STREET,Vancouver
2,3,989900,3536 SAWMILL CRESCENT,Vancouver
5,3,2798000,4612 W 8TH AVENUE,Vancouver
0,1,2900000,2645 W 8TH AVENUE,Vancouver
4,2,1999000,992 CANYON BOULEVARD,North Vancouver
2,3,886000,208-7001 ROYAL OAK AVENUE,Burnaby
2,3,2800000,2635 W 8TH AVENUE,Vancouver
5,5,5950000,2813 BELLEVUE AVENUE,West Vancouver
8,5,3190000,2460 E 19TH AVENUE,Vancouver
N/A ,0,7488000,351 COLUMBIA STREET,Vancouver
2,2,2850000,42-1386 NICOLA STREET,Vancouver
2,2,1428000,1007-1289 HORNBY STREET,Vancouver
3,2,1549000,822 E 4 TH STREET,North Vancouver
2,2,718800,302-4868 BRENTWOOD DRIVE,Burnaby
3,3,1639900,2204-3430 E KENT AVENUE SOUTH AVENUE,Vancouver
3,3,1538000,309-6328 CAMBIE STREET,Vancouver
2,2,1798000,1504-1835 MORTON AVENUE,Vancouver
2,2,1748888,2701-1289 HORNBY STREET,Vancouver
2,3,1538000,10B-1500 ALBERNI STREET,Vancouver
2,2,979900,201-177 W 3RD STREET,North Vancouver
1,1,569900,314-4310 HASTINGS STREET,Burnaby
2,1,775000,314-2001 WALL STREET,Vancouver
4,3,1599900,618 JACKSON AVENUE,Vancouver
2,2,1980000,1109-3533 ROSS DRIVE,Vancouver
1,1,729900,2205-3430 E KENT AVENUE SOUTH AVENUE,Vancouver
2,2,899900,403-3438 SAWMILL CRESCENT,Vancouver
3,3,4598000,4559 W 1ST AVENUE,Vancouver
6,4,2199000,836-838 E 11TH AVENUE,Vancouver
6,7,15000000,6380 MACDONALD STREET,Vancouver
3,3,1290000,3-8598 RIVER DISTRICT CROSSING,Vancouver
5,6,6990000,6561 MACDONALD STREET,Vancouver
1,1,799900,2611-939 EXPO BOULEVARD,Vancouver
3,2,2198000,602-475 13TH STREET,West Vancouver
3,3,2199000,256 E ST. JAMES ROAD,North Vancouver
4,4,1488000,6751 KNIGHT STREET,Vancouver
1,1,609888,715-950 DRAKE STREET,Vancouver
1,1,639000,208-2520 GUELPH STREET,Vancouver
3,2,1838000,303-1188 QUEBEC STREET,Vancouver
2,2,1295000,2616 W 1ST AVENUE,Vancouver
0,1,375000,1603-2016 FULLERTON AVENUE,North Vancouver
2,2,1489000,3397 W 8TH AVENUE,Vancouver
2,2,1448000,3501-1289 HORNBY STREET,Vancouver
2,2,699000,101-5788 SIDLEY STREET,Burnaby
1,1,399900,102-155 E 5TH STREET,North Vancouver
5,0,10490000,4150 W 8TH AVENUE,Vancouver
3,3,1658000,103-4101 YEW STREET,Vancouver
1,1,1148000,1001-570 18TH STREET,West Vancouver
4,3,3399000,4509 MARINEVIEW CRESCENT,North Vancouver
2,2,903900,523-3438 SAWMILL CRESCENT,Vancouver
2,2,908900,1906-3438 SAWMILL CRESCENT,Vancouver
1,1,659900,2301-3438 SAWMILL CRESCENT,Vancouver
5,2,2490000,3844 BEATRICE STREET,Vancouver
9,6,4490000,3491 W 34TH AVENUE,Vancouver
1,1,649000,1809-7088 18TH AVENUE,Burnaby
1,1,638000,209-357 E 2ND STREET,North Vancouver
3,4,2150000,6028 OAK STREET,Vancouver
2,2,1029900,4-7575 OAK STREET,Vancouver
3,2,1509900,12-7575 OAK STREET,Vancouver
3,3,1749900,30-7575 OAK STREET,Vancouver
3,3,1599000,2062 E 8TH AVENUE,Vancouver
2,2,1290000,801-1455 HOWE STREET,Vancouver
2,2,799999,123-5788 SIDLEY STREET,Burnaby
3,3,2499000,4812 HEADLAND CLOSE,West Vancouver
6,4,2698000,1075 ADDERLEY STREET,North Vancouver
2,2,1159000,704-188 E ESPLANADE AVENUE,North Vancouver
2,1,675000,1701-4134 MAYWOOD STREET,Burnaby
4,4,1468000,2306 E 28TH AVENUE,Vancouver
2,2,1298000,609-33 SMITHE STREET,Vancouver
4,4,1248000,5238 MANOR STREET,Burnaby
1,1,495000,314-1080 S PACIFIC STREET,Vancouver
1,1,649000,212-528 W KING EDWARD AVENUE,Vancouver
6,4,2099000,3310 PARKER STREET,Vancouver
2,2,999000,202-1228 MARINASIDE CRESCENT,Vancouver
1,1,710000,807-155 W 1ST STREET,North Vancouver
2,2,779900,34-7520 18TH STREET,Burnaby
1,1,799000,301-110 SWITCHMEN STREET,Vancouver
4,5,4786000,1390 CHARTWELL DRIVE,West Vancouver
4,2,1688000,1925 E 36TH AVENUE,Vancouver
2,3,1590000,2342 W 6TH AVENUE,Vancouver
2,2,1248000,901-570 18TH STREET,West Vancouver
4,3,2349000,912 WENTWORTH AVENUE,North Vancouver
1,1,619000,615-7133 14TH AVENUE,Burnaby
2,2,1099000,227-735 15TH STREET W,North Vancouver
0,1,497000,507-233 ABBOTT STREET,Vancouver
N/A ,0,1649000,4899 MOSS STREET,Vancouver
2,2,1999900,1901-1499 W PENDER STREET,Vancouver
2,2,998800,303-3220 W 4TH AVENUE,Vancouver
4,3,1718000,7621 YUKON STREET,Vancouver
2,2,1499900,2606-899 PACIFIC STREET,Vancouver
5,6,5380000,4085 W 15TH AVENUE,Vancouver
3,3,2525000,3-3155 CANFIELD CRESCENT,North Vancouver
3,3,2525000,3-3155 CANFIELD CRESCENT,North Vancouver
3,3,1399900,108-342 MOUNTAIN HIGHWAY,North Vancouver
2,2,1900000,1603-1783 MANITOBA STREET,Vancouver
4,4,1728888,3338 CHURCH STREET,Vancouver
1,1,779900,301-2458 YORK AVENUE,Vancouver
2,2,799000,1801-4689 HAZEL STREET,Burnaby
3,2,1199000,167-2035 GLENAIRE DRIVE,North Vancouver
2,2,1480000,403-7428 ALBERTA STREET,Vancouver
1,2,869000,201-1631 VINE STREET,Vancouver
2,1,798000,3906-6000 MCKAY AVENUE,Burnaby
2,1,848000,4306-6000 MCKAY AVENUE,Burnaby
2,3,3799900,603-768 ARTHUR ERICKSON PLACE,West Vancouver
1,1,808000,410-237 E 4TH AVENUE,Vancouver
1,1,442000,204-2133 DUNDAS STREET,Vancouver
5,5,3890000,2963 W 29TH AVENUE,Vancouver
1,1,779000,902-1328 W PENDER STREET,Vancouver
2,2,999000,304-4477 HASTINGS STREET,Burnaby
1,1,748000,404-6733 CAMBIE STREET,Vancouver
7,8,5780000,6823 MARGUERITE STREET,Vancouver
2,3,1725000,168 PRIOR STREET,Vancouver
5,4,1988000,532 E 17TH AVENUE,Vancouver
3,4,3198000,1736 W 14TH AVENUE,Vancouver
2,2,1799900,506-788 ARTHUR ERICKSON PLACE,West Vancouver
5,4,2299000,717 E 26TH AVENUE,Vancouver
2,2,998000,906-108 E 14TH STREET,North Vancouver
1,1,499000,206-2710 LONSDALE AVENUE,North Vancouver
4,5,5600000,6455 VINE STREET,Vancouver
2,2,799880,1306-4425 HALIFAX STREET,Burnaby
2,1,649000,245-5355 LANE STREET,Burnaby
2,2,949000,403-863 W 16TH AVENUE,Vancouver
5,5,3998000,4285 W 29TH AVENUE,Vancouver
2,2,999000,423-5928 BIRNEY AVENUE,Vancouver
1,1,648000,101-6933 CAMBIE STREET,Vancouver
5,2,1499000,2685 E 19TH AVENUE,Vancouver
2,2,1825000,PH3-36 WATER STREET,Vancouver
1,1,629000,1708-555 JERVIS STREET,Vancouver
1,1,649000,1102-822 SEYMOUR STREET,Vancouver
4,3,1150000,8446 QUAYSIDE COURT,Vancouver
2,2,1160000,408-522 W 8TH AVENUE,Vancouver
4,3,2799000,2155 PHILIP AVENUE,North Vancouver
5,3,3288000,1895 ROSEBERY AVENUE,West Vancouver
7,7,3638888,1605 ELLESMERE AVENUE,Burnaby
2,2,1099880,1803-128 W CORDOVA STREET,Vancouver
2,2,639000,603-2020 FULLERTON AVENUE,North Vancouver
1,2,590000,205-6588 ELGIN AVENUE,Burnaby
2,2,1098000,4708-4670 ASSEMBLY WAY,Burnaby
1,1,618888,1907-1480 HOWE STREET,Vancouver
